,RecordID,TicketNumber,DateIssued,StreetName,TimeIssued,StreetNumber,LicenseState,WaiverRequestDate,WaiverGrantedDate,AppealDate,AppealGrantedDate,ViolationDescription,AppealStatus,Location,LicensePlateAnon,Coords
363636,363637,87556602,2017-01-03T00:00:00.000Z,LEXINGTON AVE,12:57,400,VA,,,,,Overtime Parking,n/a,400 LEXINGTON AVE,65255,"(38.031356, -78.473762)"
363333,363334,87512602,2017-01-03T00:00:00.000Z,W MAIN ST,13:06,500,VA,,,,,Overtime Parking,n/a,500 W MAIN ST,82086,"(38.0308123, -78.4878481)"
12806,12807,00196009,2017-01-03T09:54:11.000Z,E MARKET ST,09:54,700,VA,,,,,Handicapped Space,n/a,700 E MARKET ST,109950,"(38.0317403, -78.4819014)"
12808,12809,00196011,2017-01-03T10:08:24.000Z,W MARKET ST,10:08,100,VA,,,,,Handicapped Space,n/a,100 W MARKET ST,109555,"(38.0315, -78.481328)"
12809,12810,00196012,2017-01-03T10:23:22.000Z,AVON ST,10:23,200,VA,,,,,Parking 20ft of Intersection,n/a,200 AVON ST,119683,"(38.02799575, -78.4776458587032)"
12810,12811,00196013,2017-01-03T10:32:00.000Z,E JEFFERSON ST,10:32,600,VA,,,,,LT Side to Curb,n/a,600 E JEFFERSON ST,104365,"(38.031328, -78.477089)"
12811,12812,00196014,2017-01-03T10:41:32.000Z,7TH ST NE,10:41,200,VA,,,,,Curb Painted Yellow,n/a,200 7TH ST NE,88661,"(38.03021, -78.476495)"
12813,12814,00196016,2017-01-03T10:50:24.000Z,GARRETT ST,10:50,100,VA,,,,,No Parking any time,n/a,100 GARRETT ST,55196,"(38.028977, -78.483896)"
12814,12815,00196017,2017-01-03T11:03:08.000Z,3RD ST NE,11:03,300,VA,,,,,Handicapped Space,n/a,300 3RD ST NE,89700,"(38.031907, -78.479131)"
12816,12817,00196019,2017-01-03T11:17:28.000Z,E JEFFERSON ST,11:17,700,VA,,,,,Overtime Parking,n/a,700 E JEFFERSON ST,109860,"(38.031035, -78.476051)"
12817,12818,00196020,2017-01-03T11:35:06.000Z,E JEFFERSON ST,11:35,300,VA,,,,,Overtime Parking,n/a,300 E JEFFERSON ST,106373,"(38.031699, -78.479174)"
12818,12819,00196021,2017-01-03T11:39:50.000Z,E MARKET ST,11:39,400,VA,,,,,Parking 20ft of Intersection,n/a,400 E MARKET ST,108827,"(38.0317403, -78.4819014)"
12819,12820,00196022,2017-01-03T11:42:54.000Z,MONTICELLO AVE,11:42,100,VA,,,,,No Parking any time,n/a,100 MONTICELLO AVE,108435,"(38.02801, -78.484389)"
12820,12821,00196023,2017-01-03T11:44:10.000Z,E MARKET ST,11:44,600,VA,,,,,Overtime Parking,n/a,600 E MARKET ST,134625,"(38.0317403, -78.4819014)"
12821,12822,00196024,2017-01-03T11:46:02.000Z,6TH ST SE,11:46,400,VA,,,,,Parking 20ft of Intersection,n/a,400 6TH ST SE,88881,"(38.027205, -78.478973)"
12825,12826,00196028,2017-01-03T11:59:16.000Z,5TH ST NE,11:59,100,VA,,,,,No Parking any time,n/a,100 5TH ST NE,104931,"(38.0299209, -78.4783279)"
12829,12830,00196032,2017-01-03T12:12:55.000Z,2ND ST NE,12:13,200,VA,,,,,Overtime Parking,n/a,200 2ND ST NE,115285,"(38.0317817, -78.4799889179641)"
12831,12832,00196034,2017-01-03T12:13:13.000Z,E MARKET ST,12:13,200,VA,,,,,Overtime Parking,n/a,200 E MARKET ST,135248,"(38.031725, -78.482076)"
12833,12834,00196036,2017-01-03T12:15:03.000Z,9TH ST SW,12:15,500,VA,,,,,No Parking any time,n/a,500 9TH ST SW,108697,"(38.0278772, -78.4949465260884)"
12835,12836,00196038,2017-01-03T12:22:52.000Z,4TH ST SE,12:22,300,VA,,,,,Overtime Parking,n/a,300 4TH ST SE,104411,"(38.0285892, -78.4793029603769)"
12837,12838,00196040,2017-01-03T12:32:50.000Z,E JEFFERSON ST,12:32,100,VA,,,,,Overtime Parking,n/a,100 E JEFFERSON ST,97296,"(38.0323745, -78.481377875)"
12838,12839,00196041,2017-01-03T12:34:46.000Z,GARRETT ST,12:35,400,VA,,,,,Overtime Parking,n/a,400 GARRETT ST,36929,"(38.02774605, -78.4816309403205)"
12839,12840,00196042,2017-01-03T12:34:57.000Z,E JEFFERSON ST,12:35,200,VA,,,,,Overtime Parking,n/a,200 E JEFFERSON ST,115900,"(38.03194, -78.479958)"
12840,12841,00196043,2017-01-03T12:37:40.000Z,2ND ST SE,12:37,400,VA,,,,,Overtime Parking,n/a,400 2ND ST SE,108852,"(38.0278052, -78.4820162)"
12843,12844,00196046,2017-01-03T12:40:50.000Z,E JEFFERSON ST,12:40,400,VA,,,,,Overtime Parking,n/a,400 E JEFFERSON ST,123337,"(38.03147, -78.478403)"
12845,12846,00196048,2017-01-03T12:43:58.000Z,E JEFFERSON ST,12:44,800,WV,,,,,Overtime Parking,n/a,800 E JEFFERSON ST,179357,"(38.030852, -78.475421)"
12851,12852,00196054,2017-01-03T12:51:28.000Z,GARRETT ST,12:51,200,VA,,,,,Overtime Parking,n/a,200 GARRETT ST,105267,"(38.028143, -78.4823369120483)"
12852,12853,00196055,2017-01-03T12:51:47.000Z,E HIGH ST,12:52,600,VA,01/11/2017,01/12/2017,,,Overtime Parking,n/a,600 E HIGH ST,103047,"(38.033224, -78.483328)"
12854,12855,00196057,2017-01-03T12:53:28.000Z,7TH ST NE,12:54,400,VA,,,,,Overtime Parking,n/a,400 7TH ST NE,67126,"(38.031716, -78.475778)"
12861,12862,00196064,2017-01-03T13:01:16.000Z,8TH ST NE,13:01,200,NY,,,,,Overtime Parking,n/a,200 8TH ST NE,20919,"(38.029996, -78.475895)"
12863,12864,00196066,2017-01-03T13:03:27.000Z,W MAIN ST,13:03,300,VA,,,,,Overtime Parking,n/a,300 W MAIN ST,115006,"(38.030236, -78.4854427)"
12866,12867,00196069,2017-01-03T13:11:14.000Z,4TH ST NE,13:11,200,VA,,,,,Overtime Parking,n/a,200 4TH ST NE,104370,"(38.030918, -78.478727)"
12871,12872,00196074,2017-01-03T13:16:34.000Z,W MAIN ST,13:17,700,IL,01/09/2017,,,,Overtime Parking,n/a,700 W MAIN ST,7453,"(38.031402, -78.489948)"
12873,12874,00196076,2017-01-03T13:21:33.000Z,W MAIN ST,13:21,800,VA,,,,,Overtime Parking,n/a,800 W MAIN ST,105686,"(38.031655, -78.490994)"
12874,12875,00196077,2017-01-03T13:21:48.000Z,1ST ST N,13:21,200,VA,,,,,Overtime Parking,n/a,200 1ST ST N,29504,"(38.031624, -78.480996)"
12875,12876,00196078,2017-01-03T13:25:59.000Z,2ND ST NW,13:26,200,VA,01/03/2017,01/04/2017,,,Overtime Parking,n/a,200 2ND ST NW,108694,"(38.031845, -78.481741)"
12880,12881,00196083,2017-01-03T13:32:59.000Z,7TH ST NW,13:32,100,OH,,,,,Parking 20ft of Intersection,n/a,100 7TH ST NW,22317,"(38.031535, -78.489619)"
12883,12884,00196086,2017-01-03T13:38:24.000Z,4TH ST NW,13:38,100,VA,,,,,Overtime Parking,n/a,100 4TH ST NW,107594,"(38.030713, -78.486431)"
12885,12886,00196088,2017-01-03T13:40:22.000Z,COMMERCE ST,13:40,400,VA,,,,,Overtime Parking,n/a,400 COMMERCE ST,109729,"(38.031379, -78.486385)"
12888,12889,00196091,2017-01-03T13:48:40.000Z,3RD ST SE,13:48,100,VA,,,,,Void,n/a,100 3RD ST SE,103884,"(38.030178, -78.479957)"
12891,12892,00196094,2017-01-03T13:54:57.000Z,2ND ST NW,13:54,100,VA,,,,,No Parking any time,n/a,100 2ND ST NW,122903,"(38.0313693, -78.48196435)"
12893,12894,00196097,2017-01-03T13:59:49.000Z,W MARKET ST,13:59,200,VA,,,,,Overtime Parking,n/a,200 W MARKET ST,100466,"(38.031725, -78.482076)"
12894,12895,00196098,2017-01-03T14:04:29.000Z,4TH ST NE,14:04,100,VA,,,,,Overtime Parking,n/a,100 4TH ST NE,106943,"(38.03013, -78.479101)"
12899,12900,00196102,2017-01-03T14:19:11.000Z,BRANDON AVE,14:19,500,VA,,,,,Void,n/a,500 BRANDON AVE,98680,"(38.030586, -78.503997)"
364489,364490,87853518,2017-01-04T00:00:00.000Z,E MARKET ST,10:42,100,MN,,,,,No Parking any time,n/a,100 E MARKET ST,14535,"(38.0315, -78.481328)"
12900,12901,00196104,2017-01-04T07:52:37.000Z,ESTES ST,07:52,800,VA,,,,,No Parking any time,n/a,800 ESTES ST,129218,"(38.030643, -78.492811)"
12902,12903,00196106,2017-01-04T07:56:51.000Z,9TH ST SW,07:56,200,VA,,,,,Permit Zone w/o Permit,n/a,200 9TH ST SW,106136,"(38.031167, -78.495383)"
12907,12908,00196111,2017-01-04T09:57:08.000Z,BRANDON AVE,09:57,400,VA,,,,,Curb Painted Yellow,n/a,400 BRANDON AVE,35296,"(38.03155325, -78.5033676962839)"
12909,12910,00196113,2017-01-04T10:21:47.000Z,3RD ST NE,10:21,400,VA,,,,,Permit Zone w/o Permit,n/a,400 3RD ST NE,38133,"(38.032618, -78.478801)"
12911,12912,00196115,2017-01-04T10:27:35.000Z,CHANCELLOR ST,10:27,100,VA,,,,,No Parking any time,n/a,100 CHANCELLOR ST,110086,"(38.03607, -78.501317)"
12914,12915,00196118,2017-01-04T10:45:29.000Z,4TH ST SE,10:45,100,VA,,,,,Overtime Parking,n/a,100 4TH ST SE,48341,"(38.0299, -78.479216)"
12916,12917,00196120,2017-01-04T10:48:00.000Z,11TH ST NW,10:47,300,VA,,,,,LT Side to Curb,n/a,300 11TH ST NW,106859,"(38.035942, -78.49485)"
12920,12921,00196124,2017-01-04T10:57:08.000Z,4TH ST NE,10:57,300,VA,,,01/04/2017,01/05/2017,Handicapped Space,granted,300 4TH ST NE,46364,"(38.031675, -78.478359)"
12921,12922,00196125,2017-01-04T10:59:23.000Z,2ND ST NE,10:59,300,VA,,,,,Overtime Parking,n/a,300 2ND ST NE,85587,"(38.032151, -78.479915)"
12928,12929,00196132,2017-01-04T11:18:02.000Z,JEFFERSON PARK AVE,11:18,1400,VA,,,,,Overtime Parking,n/a,1400 JEFFERSON PARK AVE,112792,"(38.032035, -78.501978)"
12929,12930,00196133,2017-01-04T11:34:09.000Z,BURNLEY AVE,11:34,1600,VA,,,,,LT Side to Curb,n/a,1600 BURNLEY AVE,122150,"(38.042893, -78.497388)"
12930,12931,00196134,2017-01-04T11:38:57.000Z,15TH ST NW,11:39,100,VA,,,,,Overtime Parking,n/a,100 15TH ST NW,106992,"(38.035179, -78.499602)"
12931,12932,00196135,2017-01-04T11:43:20.000Z,14TH ST NW,11:43,200,VA,,,,,Curb Painted Yellow,n/a,200 14TH ST NW,35109,"(38.03479055, -78.4989386472394)"
12933,12934,00196137,2017-01-04T11:45:05.000Z,WESTERLY AVE,11:45,100,VA,,,,,LT Side to Curb,n/a,100 WESTERLY AVE,119847,"(38.026094, -78.52234)"
12935,12936,00196139,2017-01-04T11:47:57.000Z,WESTERLY AVE,11:47,2500,VA,,,,,LT Side to Curb,n/a,2500 WESTERLY AVE,110080,"(38.024248, -78.521958)"
12936,12937,00196140,2017-01-04T11:48:23.000Z,W JEFFERSON ST,11:48,100,VA,,,,,Overtime Parking,n/a,100 W JEFFERSON ST,43418,"(38.0323745, -78.481377875)"
12940,12941,00196144,2017-01-04T11:52:55.000Z,KING ST,11:52,900,VA,,,,,Permit Zone w/o Permit,n/a,900 KING ST,103710,"(38.029487, -78.495594)"
12948,12949,00196152,2017-01-04T12:00:50.000Z,GROVE ST,12:00,1000,VA,,,,,Permit Zone w/o Permit,n/a,1000 GROVE ST,43502,"(38.029724, -78.497077)"
12950,12951,00196154,2017-01-04T12:03:23.000Z,CENTER AVE,12:03,2300,VA,,,,,LT Side to Curb,n/a,2300 CENTER AVE,94016,"(38.0243633, -78.5102947)"
12951,12952,00196155,2017-01-04T12:03:24.000Z,6TH ST SE,12:03,300,VA,,,,,Overtime Parking,n/a,300 6TH ST SE,112943,"(38.027932, -78.478384)"
