username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CvilleDowntown;2017-12-29 16:49;0;0;"Congratulations Linda, Dale & Silver Dollar Cafe for the Masonic recognition of all that you do for our... https://fb.me/PvKYyq2k";;;;"946860799372464128";https://twitter.com/CvilleDowntown/status/946860799372464128
CvilleDowntown;2017-12-29 12:22;0;0;"Don't forget...come see us today at 12:30 if you're interested in being a member of CDI, on the Board or a volunteer in general!!";;;;"946793437671632897";https://twitter.com/CvilleDowntown/status/946793437671632897
pandorasun6;2017-12-27 12:21;0;0;"I need leads on part time jobs In cville on Main St or Downtown (within walking distance of Cherry Ave/9th St).... https://fb.me/8rUAKpNNs";;;;"946068591379648512";https://twitter.com/pandorasun6/status/946068591379648512
CVilleFood;2017-12-26 23:00;0;0;"10 Awesome Late Night Spots In # CVille! Jerry Miller ~ Citizen Burger Bar, Miller's Downtown, The White Spot... https://fb.me/1rPZ8xbEj";;;#;"945866867851309056";https://twitter.com/CVilleFood/status/945866867851309056
CvilleDowntown;2017-12-26 19:09;0;0;"I posted a new video to Facebook https://fb.me/2zQURRRnS";;;;"945808832495833088";https://twitter.com/CvilleDowntown/status/945808832495833088
CvilleDowntown;2017-12-26 19:08;0;0;"Welcome to CDI https://fb.me/2m1cgq2iI";;;;"945808640715476993";https://twitter.com/CvilleDowntown/status/945808640715476993
CvilleDowntown;2017-12-26 18:54;0;0;"Testing for a live broadcast in 5 minutes https://fb.me/Nje7fZUq";;;;"945805040266117120";https://twitter.com/CvilleDowntown/status/945805040266117120
LoveCVille;2017-12-26 11:45;0;0;"16 CVille Downtown Businesses Not On The Mall! # CVille Jerry Miller ~ Tin Whistle Irish Pub, South Street... https://fb.me/IQ0GRrX4";;;#;"945696998954553344";https://twitter.com/LoveCVille/status/945696998954553344
RedCville;2017-12-26 10:05;0;0;"don’t jump on the JK/ White nationalist screwed up Cville train. They ran a story months ago talking about the first quarters and were blaming it on the new Shopping centers in the county. Downtown has been struggling for a long time. Even locals will tell you.";;;;"945672022142668802";https://twitter.com/RedCville/status/945672022142668802
CVilleFood;2017-12-25 18:26;0;0;"16 CVille Downtown Businesses Not On The Mall! # CVille Jerry Miller ~ South Street Brewery, Tin Whistle Irish... https://fb.me/5PahyYoSF";;;#;"945435560780484609";https://twitter.com/CVilleFood/status/945435560780484609
CVilleFood;2017-12-25 12:21;0;0;"11 Places For Sweets, Treats, Fudge & Ice Cream In Downtown Charlottesville, Virginia! # CVille Jerry Miller ~... https://fb.me/1w0GFw6xS";;;#;"945343680612851712";https://twitter.com/CVilleFood/status/945343680612851712
LoveCVille;2017-12-24 21:40;0;0;"16 CVille Downtown Businesses Not On The Mall! # CVille Jerry Miller ~ South Street Brewery, Bang Tapas, Tin... https://fb.me/6JHjq5Qth";;;#;"945121958705934338";https://twitter.com/LoveCVille/status/945121958705934338
EmilyBlout;2017-12-24 13:50;0;0;"@ DailyProgress on Bellemy, Fenwick, Szakos vote to keep dangerous, vacant structure on # cville downtown mall: "Charlottesville may find itself losing future businesses and private investment — and the taxes they bring that keep the city humming" http://www.dailyprogress.com/opinion/opinion-editorial-hotel-plan-comes-to-grief-in-a-changed/article_58389f4c-e825-11e7-9ecd-ab0aee627ac4.html …";;@;#;"945003692587175937";https://twitter.com/EmilyBlout/status/945003692587175937
Scoutology;2017-12-23 17:41;0;0;"11 Spots For Sweets, Treats, Fudge & Ice Cream In Downtown Charlottesville, Virginia! # CVille Jerry Miller ~... https://fb.me/2tFt0gBLx";;;#;"944699486915481611";https://twitter.com/Scoutology/status/944699486915481611
LoveCVille;2017-12-23 17:20;0;1;"11 Places For Sweets, Treats, Fudge & Ice Cream In Downtown Charlottesville, Virginia! # CVille Jerry Miller ~... https://fb.me/6C4mXDxmH";;;#;"944694139425353728";https://twitter.com/LoveCVille/status/944694139425353728
lirael_abhorsen;2017-12-23 12:03;0;2;"Somewhat relevantly I thought it was interesting, in the independent Cville review, that a top cop, during Cville's case vs the ACLU, left intel about potential violence out of his affidavit because he wanted the city to lose, thought downtown would be easier to police.";;;;"944614359212412928";https://twitter.com/lirael_abhorsen/status/944614359212412928
Scoutology;2017-12-22 18:22;0;1;"11 Spots For Sweets, Treats, Fudge & Ice Cream In Downtown Charlottesville, Virginia! # CVille @ ParadoxPastry @ TheCandyStoreVa @ sweethaus http://charlottesville.scoutology.com/11-places-satisfy-sweet-tooth-downtown/ …";;@ @ @;#;"944347371420508160";https://twitter.com/Scoutology/status/944347371420508160
socialistdogmom;2017-12-20 20:56;0;4;"i've been unable to locate the victim of monday's assault. my contact at the shelter downtown says he hasn't been seen there. here's hoping he shows up for his hearing tomorrow morning at 10. if you're in cville, show up if you can. homeless people are not disposable.";;;;"943661517312069633";https://twitter.com/socialistdogmom/status/943661517312069633
CvilleDowntown;2017-12-19 11:04;0;0;"The Chamber Banquet is always fun and good way to get to see or meet owners of other businesses around town. https://fb.me/4detW4G15";;;;"943150105812709376";https://twitter.com/CvilleDowntown/status/943150105812709376
EmilyGorcenski;2017-12-19 06:27;0;11;"Downtown Cville is clamoring for office space. I guarantee you can get a developer to do something better with the area and *not* end up in a toxic, go nowhere contract situation. Or not, because who wants to bring a business to Nazi central with the highest healthcare costs";;;;"943080240456388608";https://twitter.com/EmilyGorcenski/status/943080240456388608
CvilleDowntown;2017-12-18 19:19;0;0;"Mark your calendars for this!!! https://fb.me/VYRkc9Bb";;;;"942912220664680456";https://twitter.com/CvilleDowntown/status/942912220664680456
CVilleFood;2017-12-18 19:00;0;0;"11 Spots For Sweets, Treats, Fudge & Ice Cream In Downtown Charlottesville, Virginia! # CVille Jerry Miller ~... https://fb.me/2u2JDWKR9";;;#;"942907369171845120";https://twitter.com/CVilleFood/status/942907369171845120
