username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JimmyFry1;2017-12-15 04:07;0;0;"The evil curse surrounding # Cville was expanded by @ TerryMcAuliffe & the @ ralphnortham election to further their violent attacks on all Virginians. Protecting our families, & each other from their assaults is paramount. @ TheMadDimension";;@ @ @;#;"941595612549668864";https://twitter.com/JimmyFry1/status/941595612549668864
schoolgirIcrush;2017-11-27 11:30;0;0;"Nvm it's sold out. I was just at the paramount yesterday!! Enjoy cville";;;;"935184188155801600";https://twitter.com/schoolgirIcrush/status/935184188155801600
Rick_Sincere;2017-11-09 00:40;0;0;"Paramount Theatre-Va Film Festival https://youtu.be/ZXmVPFdXKBI # vafilm # vafilmfest # cville";;;# # #;"928497397923303425";https://twitter.com/Rick_Sincere/status/928497397923303425
Iamgrandmaof7;2017-09-23 19:36;7;11;"@ DrDeb17 @ MikeMGarner It's been awhile, but finally @ ScottyMcCreery concert again. # cville # Paramount @ MusicalMeliss @ purplepirate91pic.twitter.com/UEWMJNekvR";;@ @ @ @ @;# #;"911736012321312769";https://twitter.com/Iamgrandmaof7/status/911736012321312769
justinide;2017-08-17 15:02;0;2;"LOVE is moving in. # noh8 # cville # thisisourfuckingcity # loveva @The Paramount Theater of… https://www.instagram.com/p/BX5-saKlola/";;@The;# # # #;"898258871759904769";https://twitter.com/justinide/status/898258871759904769
ConePeggy;2017-08-16 22:49;0;2;"This is a pix of Cville. You can see the back of the Paramount theatre. (Where they held Heathers mem service)";;;;"898013891741011970";https://twitter.com/ConePeggy/status/898013891741011970
marktenia8News;2017-08-16 12:19;1;1;". @ GovernorVA making a few comments outside of Paramount theatre in Cville. Says it's time for healing and reconciliation. pic.twitter.com/za6m9qNQTB";;@;;"897855461982130176";https://twitter.com/marktenia8News/status/897855461982130176
Talya8news;2017-08-16 10:29;2;5;"Outside the Paramount reads "Cville Strong" pic.twitter.com/FAqVn1OJEW";;;;"897827744624635905";https://twitter.com/Talya8news/status/897827744624635905
timsmithcville;2017-07-26 20:37;1;0;"The Paramount in Cville on Dec 23....count us in. Can't wait.";;;;"890370467969806337";https://twitter.com/timsmithcville/status/890370467969806337
cvilleparamount;2017-05-19 10:15;0;0;"Today is the LAST day to vote for The Paramount in the Best of Cville 2017 Awards! http://www.c-ville.com/nominate/ pic.twitter.com/6VCJv4hlND";;;;"865571608592777218";https://twitter.com/cvilleparamount/status/865571608592777218
cvilleparamount;2017-05-14 19:10;0;0;"Best of Cville 2017 voting ends May 19 - cast your vote for The Paramount now! http://www.c-ville.com/nominate/ pic.twitter.com/y5Cy8Y8Wqi";;;;"863894259652591620";https://twitter.com/cvilleparamount/status/863894259652591620
cvilleparamount;2017-05-09 13:09;0;0;"Vote for The Paramount Theater in the 2017 Best of Cville Awards! http://ow.ly/tbOL30bzD9m";;;;"861991597440937987";https://twitter.com/cvilleparamount/status/861991597440937987
robgarlandphoto;2017-05-04 10:52;0;0;"@ cvilleparamount on Friday # galaland # cville # theater # charlottesville # va # virginia # Paramount pic.twitter.com/mKkmaZ0teU";;@;# # # # # # #;"860145117876891648";https://twitter.com/robgarlandphoto/status/860145117876891648
iLabAtUVA;2017-04-14 10:32;1;4;"Visit our ventures @ TomTomFest today til 4pm under the tent by Cville’s Paramount Theater! @ DardenMBApic.twitter.com/znBHGcM3WL";;@ @;;"852892227122724865";https://twitter.com/iLabAtUVA/status/852892227122724865
joshuamandell;2017-04-12 18:12;0;0;"Check out the Future Forum at the Paramount @7 pm to learn about @ cvilletomorrow and hear from leaders & innovators in Cville!";;@7 @;;"852283309224808448";https://twitter.com/joshuamandell/status/852283309224808448
monica_logo;2017-04-11 10:27;4;14;"SUCH a beautiful week in # Cville Excited to co-host @ TomTomFest's Innovations in # Edu Happy Hour: 5p @Paramount! https://tomtomfest.com/events/innovations-in-education/ …pic.twitter.com/JFpUOs0UG9";;@ @Paramount;# #;"851803850650595331";https://twitter.com/monica_logo/status/851803850650595331
Jalane_Schmidt;2017-02-26 17:57;0;0;"Last week's VA GOP gubernatorial debate in Cville at the Paramount got only 180 attendees.";;;;"835987116530233345";https://twitter.com/Jalane_Schmidt/status/835987116530233345
KatImhoff1;2017-02-25 07:23;0;1;"Looks like a visit to @ JMMontpelier & @ MonroeHighland is in order for @ TheLewisBlack! Got his Jameses mixed up @ cville paramount this week";;@ @ @ @;;"835465161821589504";https://twitter.com/KatImhoff1/status/835465161821589504
paczkinrn94;2017-02-19 20:40;0;1;"Exploring downtown CVille with new friends is paramount. ;) # cville… https://www.instagram.com/p/BQtx2foDs6Lvu0UskwdgTqwjorgTz4Z7BE8VUU0/ …";;;#;"833491363601735681";https://twitter.com/paczkinrn94/status/833491363601735681
CPepPaparazzi;2017-02-19 11:44;0;0;"Spending Friday at the Paramount was so much fun. # cville # paramount # paramounttheatre… https://www.instagram.com/p/BQs0jvilaEh/";;;# # #;"833356587825774593";https://twitter.com/CPepPaparazzi/status/833356587825774593
Jalane_Schmidt;2017-02-18 16:02;0;0;"Lotsa empty seats at the VA GOP gubernatorial debate at the # Cville Paramount. But @ CvilleDems had great turnout this morning! @ vademocratshttps://twitter.com/AidanCWilliams/status/833050298239291393 …";;@ @;#;"833059027617734656";https://twitter.com/Jalane_Schmidt/status/833059027617734656
cvilleparamount;2017-02-14 12:09;1;0;"Plan a # datenight at The Paramount with our Perfect Paramount Downtown Date ideas! # romance # downtown # cville http://ow.ly/DrM1309047R pic.twitter.com/LXJrv9PDmI";;;# # # #;"831551005938577408";https://twitter.com/cvilleparamount/status/831551005938577408
dmradventures;2017-01-28 19:26;0;1;"Paramount / sound check done # cville # charlottesville # dmradventures # vocalosity @The Paramount… https://www.instagram.com/p/BP1AAREhvws/";;@The;# # # #;"825500448693956608";https://twitter.com/dmradventures/status/825500448693956608
Jalane_Schmidt;2017-01-26 19:01;0;0;"Cville filled Paramount Theater for the annual Community MLK Celebration. Anita Hill spoke on "Reimagining Equality in post-Obama America." pic.twitter.com/Tii1Engntj";;;;"824769250787258369";https://twitter.com/Jalane_Schmidt/status/824769250787258369
kateelizjames;2017-01-11 22:51;0;2;"My commute this week # cville # paramount # startuplife https://www.instagram.com/p/BPJl8H3g_EGu-3Uo6V73pYsOJt-ock59lKYHlg0/ …";;;# # #;"819391415549566977";https://twitter.com/kateelizjames/status/819391415549566977
