username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
joey_wharton;2017-12-26 20:59;1;1;". @ alt_J at the @ SprintPavilion earlier this year. Another incredible performance to both witness and photograph in 2017. pic.twitter.com/2CseiLqVZd";;@ @;;"945836507885170688";https://twitter.com/joey_wharton/status/945836507885170688
joey_wharton;2017-12-23 22:09;0;0;"Thank you!!";;;;"944766998193549312";https://twitter.com/joey_wharton/status/944766998193549312
maggielndnphoto;2017-12-23 17:40;0;1;"I love everything about these";;;;"944699191963635713";https://twitter.com/maggielndnphoto/status/944699191963635713
baseball_lcs16;2017-12-16 16:23;0;5;"After Christmas break we will start long tossing and sprint work on Tuesdays and Fridays for all players interested in playing baseball in the spring 3:30 meet at pavilion done at 4:30 make sure dress warm and have a ride.";;;;"942143082350481409";https://twitter.com/baseball_lcs16/status/942143082350481409
uberbutch;2017-12-09 09:46;0;0;"Snowy Girl Scout reindeer ready to march in the holiday parade. @Sprint Pavilion https://www.instagram.com/p/BcfEAOMD4uw/";;@Sprint;;"939506629707485184";https://twitter.com/uberbutch/status/939506629707485184
rhager0101;2017-12-03 07:04;0;1;"Sprint Quality team! # epcrystalball2017 # epproud @Oakridge Pavilion, Cebu https://www.instagram.com/p/BcPUrZKBGm4/";;@Oakridge;# #;"937291488068763648";https://twitter.com/rhager0101/status/937291488068763648
deltoscano;2017-11-10 14:53;2;4;"I'll be attending the annual American Legion Post 74 Veterans Day ceremony in Charlottesville at the @ SprintPavilion Saturday at 11 am, to honor those who have served in our country's military branches. I hope to see many members of our community there. pic.twitter.com/8j54QYCWtl";;@;;"929074502402756608";https://twitter.com/deltoscano/status/929074502402756608
WNRNradio;2017-11-09 10:45;0;1;"WNRN members attended a meet and greet with @ alt_J ahead of their show at the @ SprintPavilion last week! Join us at our next VIP member event by becoming a member of WNRN at http://wnrn.org .http://www.wnrn.org/alt-j-meet-greet/ …";;@ @;;"928649699321663489";https://twitter.com/WNRNradio/status/928649699321663489
cavalierdaily;2017-11-08 21:30;0;4;"Sprint Pavilion crowd 'mesmerized' by @ boniver Friday night http://bit.ly/2hlOkdU pic.twitter.com/IbhqauHQ5q";;@;;"928449565941956609";https://twitter.com/cavalierdaily/status/928449565941956609
cavalierdaily;2017-11-08 17:15;0;0;"A&E: @ alt_J brings 'synesthetic experience' to @ SprintPavilion http://bit.ly/2zHiqA1 pic.twitter.com/150igFxNNy";;@ @;;"928385392964980736";https://twitter.com/cavalierdaily/status/928385392964980736
anitamays;2017-11-05 07:20;0;3;"Great day to stroll for epilepsy awareness w/ @ EpilepsyVA and dance w/ Lockjaw today @Cville Sprint Pavilion @2:00. See y'all there!";;@ @Cville @2;;"927148522708832256";https://twitter.com/anitamays/status/927148522708832256
msfarrell823;2017-11-05 00:03;0;0;"Feels like Fall in Charlottesville # boniver # sprintpavilion… https://www.instagram.com/p/BbGXVbQBa9OvWWQ09MAWQj6oqaXmIbC0Krgd3o0/ …";;;# #;"927023500577071104";https://twitter.com/msfarrell823/status/927023500577071104
anitamays;2017-11-04 19:06;0;1;"Support @ EpilepsyFdn Awareness Stroll, Cville @ SprintPavilion Sunday at 2. pic.twitter.com/pDsuarfpIQ";;@ @;;"926948871581913088";https://twitter.com/anitamays/status/926948871581913088
shielarambo;2017-11-04 18:52;0;0;"Sharon Gregory did a nice job last year with covering a piece on our Buddy Skype School, @ BakerButlerElem! I still have the feature clip! Thanks @ NBC29";;@ @;;"926945264258121729";https://twitter.com/shielarambo/status/926945264258121729
anitamays;2017-11-04 18:39;0;0;"Big Thanks to @ NBC29 for continuing support of EFVA Annual Awareness Stroll. Join us & Sharon Gregory @ SprintPavilion tomorrow at 2!";;@ @;;"926941926443618305";https://twitter.com/anitamays/status/926941926443618305
cag123;2017-11-04 13:22;0;0;"Let there be light... @Sprint Pavilion https://www.instagram.com/p/BbFOCmPFaoz/";;@Sprint;;"926862313667420160";https://twitter.com/cag123/status/926862313667420160
grantmillsaps;2017-11-03 22:44;0;0;"Bon Iver Perfection. @Sprint Pavilion https://www.instagram.com/p/BbDphvnhvUk/";;@Sprint;;"926641284273623045";https://twitter.com/grantmillsaps/status/926641284273623045
brandy_daniels;2017-11-03 20:05;0;4;"Bon Iver Concert!! @Sprint Pavilion https://www.instagram.com/p/BbDXVaJDRSnOgvhSpseKi4xNF8uw2vG2gzfDWQ0/ …";;@Sprint;;"926601283720527873";https://twitter.com/brandy_daniels/status/926601283720527873
graeson_brooke;2017-11-03 18:11;0;1;"Wow sprint pavilion is the NICEST concert venue I’ve ever been to";;;;"926572492415733760";https://twitter.com/graeson_brooke/status/926572492415733760
MikeyWest_Side;2017-11-03 14:59;0;0;"Is it possible to get into the sound check?";;;;"926524203192463361";https://twitter.com/MikeyWest_Side/status/926524203192463361
SprintPavilion;2017-11-03 14:00;1;3;"Sold out @ boniver show tonight! Gates at 6pm and @ aeroflynn will kick things off around 7:30pm.pic.twitter.com/XkrIOVoxoi";;@ @;;"926509382686400514";https://twitter.com/SprintPavilion/status/926509382686400514
WNRNradio;2017-11-03 11:00;0;0;"@ boniver is playing a sold-out show tonight at @ SprintPavilion! Join us at 2 pm for a cover of an early Bon Iver tune on Take2@2!";;@ @ @2;;"926463981555875840";https://twitter.com/WNRNradio/status/926463981555875840
MusicCville;2017-11-03 10:00;0;0;"Bon Iver: Sprint Pavilion at 7 PM";;;;"926448913443254272";https://twitter.com/MusicCville/status/926448913443254272
35173sketch;2017-11-02 10:00;0;2;"And yes! I will look into it :) sounds like a cool opportunity";;;;"926086565075529728";https://twitter.com/35173sketch/status/926086565075529728
fobswift;2017-11-02 06:27;0;3;"Just a tiny bit in love with this";;;;"926033075095687168";https://twitter.com/fobswift/status/926033075095687168
SayCheeseBishop;2017-11-01 20:47;0;2;"Bishop earlier tonight at the Sprint Pavilion in Charlottesville, NC. Photo by @ tristanwilliams. https://www.instagram.com/tristanwilliams/ … # BishopBriggspic.twitter.com/fqiz88Qcph";;@;#;"925886980193509377";https://twitter.com/SayCheeseBishop/status/925886980193509377
StewballWCNR;2017-11-01 20:37;0;0;"Alt-J @Sprint Pavilion https://www.instagram.com/p/Ba-RY2dl0i8/";;@Sprint;;"925884525682544641";https://twitter.com/StewballWCNR/status/925884525682544641
StewballWCNR;2017-11-01 19:27;0;0;"Bishop Briggs @Sprint Pavilion https://www.instagram.com/p/Ba-JVuYl-IC/";;@Sprint;;"925866875585572864";https://twitter.com/StewballWCNR/status/925866875585572864
wildwoman1316;2017-11-01 18:40;0;0;"This is so awesome!";;;;"925854968921370629";https://twitter.com/wildwoman1316/status/925854968921370629
citizenburger;2017-11-01 18:37;0;1;"the countdown ‘til @ unrealaltj at @ sprintpavilion is very on. come downtown! & be sure to stop in here! http://fb.me/7m8aDDSf9";;@ @;;"925854297144864769";https://twitter.com/citizenburger/status/925854297144864769
SaraBroens;2017-11-01 16:34;0;3;"Same! So pleasing to look at all the alt-J references & features!";;;;"925823505555509249";https://twitter.com/SaraBroens/status/925823505555509249
nolightss;2017-11-01 16:32;0;3;"AMEN!!! it’s fuckin gorgeous. can’t stop looking at it";;;;"925822857002848257";https://twitter.com/nolightss/status/925822857002848257
CWSkybar;2017-11-01 16:28;0;0;"Pumped for @ thatgirlbishop and @ alt_J at @ SprintPavilion tonight! @ CVilleBuzz @ visitCville @ DowntownMall @ ontheDTM # Charlottesville # Cvillepic.twitter.com/Xqhka2IDBr";;@ @ @ @ @ @ @;# #;"925821783982387201";https://twitter.com/CWSkybar/status/925821783982387201
SaraBroens;2017-11-01 16:18;0;4;"- would look perfect in it (if you ask me) ( @ nolightss ?)";;@;;"925819247531610112";https://twitter.com/SaraBroens/status/925819247531610112
SaraBroens;2017-11-01 16:16;0;4;"Btw: if you want to, you can join the alt-J losers (on fb), we're a group of alt-J lovers! If there ever comes a 2nd zine, this piece -";;;;"925818974176268290";https://twitter.com/SaraBroens/status/925818974176268290
SaraBroens;2017-11-01 16:13;0;1;"Just discovered that you were already able to contact them :) Enjoy tonight, experiencing alt-J live is the best!";;;;"925818176901918720";https://twitter.com/SaraBroens/status/925818176901918720
SaraBroens;2017-11-01 16:05;0;2;"It's gorgeous and so detailed Like Becky said, being friendly and just tweeting them, can make it happen! Good luck & enjoy the show!";;;;"925816149501186048";https://twitter.com/SaraBroens/status/925816149501186048
PortlandatHeart;2017-11-01 16:03;0;0;"I feel like most will be showing up for you, not alt-J. Lol like them too, but need some soulful power in me tonight!";;;;"925815486973120513";https://twitter.com/PortlandatHeart/status/925815486973120513
WNRNradio;2017-11-01 15:51;0;1;"We'll continue getting ready for @ alt_J's performance at @ SprintPavilion tonight with a live set they recorded last year for Live at 5!";;@ @;;"925812441749090304";https://twitter.com/WNRNradio/status/925812441749090304
SprintPavilion;2017-11-01 14:02;1;0;". @ alt_J is here TONIGHT! Gates at 6pm & @ thatgirlbishop is kicking things off shortly after 7pm. Some tickets left! http://bit.ly/altJCvilleTix pic.twitter.com/P31eEBulcS";;@ @;;"925785254304124928";https://twitter.com/SprintPavilion/status/925785254304124928
gusunger;2017-11-01 13:36;0;9;"Wow ! We can definitely make that happen.";;;;"925778503676628992";https://twitter.com/gusunger/status/925778503676628992
MadeCville;2017-11-01 13:34;0;0;"Can't make our event @ FIREFLYCville at 5? Head to @ SprintPavilion, and visit newest MIC biz, great night for cocoa ! http://www.cocoaandspice.com";;@ @;;"925778114520772608";https://twitter.com/MadeCville/status/925778114520772608
WNRNradio;2017-11-01 12:34;0;0;"@ alt_J is playing @ SprintPavilion tonight. You won't believe the cover we have cued up to get you ready for the show for today's Take2@2!";;@ @ @2;;"925763104679579648";https://twitter.com/WNRNradio/status/925763104679579648
SM_Pollard;2017-11-01 10:58;0;0;"I so wish you were playing with them in Atlanta!";;;;"925738720480837633";https://twitter.com/SM_Pollard/status/925738720480837633
thatgirlbishop;2017-11-01 10:56;6;53;"Seems v reasonable & rational. So thank u. And I'll be at @ SprintPavilion opening for @ alt_J tonight if u need me";;@ @;;"925738296206086146";https://twitter.com/thatgirlbishop/status/925738296206086146
Des_E_Moses;2017-11-01 10:52;0;0;"Big thanks to @ alt_J for chatting with me for @ artscville! They play Cville's @ SprintPavilion tonight! http://bit.ly/2gT9koe";;@ @ @;;"925737250280869894";https://twitter.com/Des_E_Moses/status/925737250280869894
35173sketch;2017-11-01 07:56;3;12;"Very forward request: I'm seeing @ alt_J tonight @ SprintPavilion, anyone know if/how I could get this original fan art to the band? @ gusungerhttps://twitter.com/35173sketch/status/589286781302022144 …";;@ @ @;;"925693036780277761";https://twitter.com/35173sketch/status/925693036780277761
35173sketch;2017-11-01 07:53;0;6;"Extremely forward request: I'm seeing @ alt_J tonight @ SprintPavilion, anyone know if/how I could get this original fan art to the band? :o pic.twitter.com/6qQ9fevtXD";;@ @;;"925692301158092801";https://twitter.com/35173sketch/status/925692301158092801
SPIKEDLLC;2017-10-31 08:21;0;0;"Concert at the Sprint Pavilion tomorrow nig ht hope to see people out there!";;;;"925336851266834432";https://twitter.com/SPIKEDLLC/status/925336851266834432
yancyscot;2017-10-30 21:09;0;0;"Avett Brothers "I Shall Be Released" Sprint Pavilion, Charlottesville, V... https://www.youtube.com/watch?v=rHBH7JSCjE4&feature=share …";;;;"925167901073661958";https://twitter.com/yancyscot/status/925167901073661958
SprintPavilion;2017-10-30 16:37;0;1;"Who’s ready for Wednesday?! Tickets available: http://bit.ly/altJCvilleTix https://twitter.com/alt_J/status/924827833670782976 …";;;;"925099435239059457";https://twitter.com/SprintPavilion/status/925099435239059457
WelcomeBook;2017-10-30 10:18;0;0;"Flash Giveaway! We are giving away tickets to see alt-J at the Sprint Pavilion this Wednesday, November 1 at 7pm!... http://fb.me/9l6WP8fOO";;;;"925004065603452928";https://twitter.com/WelcomeBook/status/925004065603452928
cvilletomorrow;2017-10-26 19:10;0;1;"Downtown Safe Halloween Returns to Sprint Pavilion on Saturday, October 28 - http://ow.ly/L9Nt30g8Y4E";;;;"923688233128611842";https://twitter.com/cvilletomorrow/status/923688233128611842
FredyChinoy;2017-10-26 14:08;3;4;"46 Mbps! on Sprint, at # SprintPavilion # Charlottesville VA. Enough capacity to live stream every Fridays After 5 @ SprintNetwork, # WorksForMepic.twitter.com/g00684GfCo";;@;# # #;"923612407083229185";https://twitter.com/FredyChinoy/status/923612407083229185
AugFreePress;2017-10-25 10:03;0;0;"Downtown Safe Halloween returns to Sprint Pavilion on Saturday... http://fb.me/Akn9dOiM";;;;"923188154890407938";https://twitter.com/AugFreePress/status/923188154890407938
CBS19News;2017-10-25 00:15;0;0;"Charlottesville's Downtown Safe Halloween returns to the @ SprintPavilion on Saturday. http://www.newsplex.com/content/news/Downtown-Safe-Halloween-returns-to-Sprint-Pavilion-452808273.html …";;@;;"923040172127719424";https://twitter.com/CBS19News/status/923040172127719424
SprintPavilion;2017-10-24 13:59;0;1;"We’re just over a week away from @ alt_J in Charlottesville! Grab tickets for the 11/1 show: http://bit.ly/altJCvilleTix https://twitter.com/alt_J/status/922529673090863105 …";;@;;"922885265999441923";https://twitter.com/SprintPavilion/status/922885265999441923
ReeeemixHQ;2017-10-22 01:29;0;0;"http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337673626&item=263274996523&vectorid=229466&lgeo=1 … Bon Iver 2 Tickets 2 ROWS FROM STAGE Sprint Pavilion Charlottesville 11/3";;;;"921971806982017024";https://twitter.com/ReeeemixHQ/status/921971806982017024
ReeeemixHQ;2017-10-21 16:51;0;0;"http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337673626&item=263266383104&vectorid=229466&lgeo=1 … Bon Iver 2 Tickets 2 ROWS FROM STAGE Sprint Pavilion Charlottesville 11/3";;;;"921841328333484033";https://twitter.com/ReeeemixHQ/status/921841328333484033
EpilepsyVA;2017-10-20 16:15;0;0;"Don't forget that our Charlottesville Stroll is on Sunday, Nov 5th at 2PM at the Sprint Pavilion! See you there!! pic.twitter.com/byv0rNe0J6";;;;"921469963541544961";https://twitter.com/EpilepsyVA/status/921469963541544961
ReeeemixHQ;2017-10-16 19:03;0;0;"http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337673626&item=263266383104&vectorid=229466&lgeo=1 … Bon Iver 2 Tickets 2 ROWS FROM STAGE Sprint Pavilion Charlottesville 11/3";;;;"920062763698880514";https://twitter.com/ReeeemixHQ/status/920062763698880514
ReeeemixHQ;2017-10-16 14:47;0;0;"http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337673626&item=272883879837&vectorid=229466&lgeo=1 … Bon Iver 2 Tickets 2 ROWS FROM STAGE Sprint Pavilion Charlottesville 11/3";;;;"919998225272201216";https://twitter.com/ReeeemixHQ/status/919998225272201216
ReeeemixHQ;2017-10-11 15:46;0;0;"http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5337673626&item=272883879837&vectorid=229466&lgeo=1 … Bon Iver 2 Tickets 2 ROWS FROM STAGE Sprint Pavilion Charlottesville 11/3";;;;"918201134359175168";https://twitter.com/ReeeemixHQ/status/918201134359175168
SherryTaylorZ95;2017-10-10 09:02;0;1;"Yes! Please!!!!";;;;"917737120336367617";https://twitter.com/SherryTaylorZ95/status/917737120336367617
copelandandi;2017-10-10 08:49;0;3;". @ lecrae we need you to hold a concert in # Charlottesville @ SprintPavilion, @ cvilleparamount or @ CvilleJefferson let's make it happenhttps://twitter.com/lecrae/status/917729410643525633 …";;@ @ @ @;#;"917733751505014784";https://twitter.com/copelandandi/status/917733751505014784
jDoughty_;2017-10-09 21:12;0;0;"I’m interested in alt-J @Sprint Pavilion. https://www.songkick.com/concerts/31152274-altj-at-sprint-pavilion?utm_content=ZD0yNDU4MDM3JnU9ODc3Mzk0Mw%3D%3D&utm_source=twitter&utm_medium=auto-share&utm_campaign=auto-share …";;@Sprint;;"917558485046513664";https://twitter.com/jDoughty_/status/917558485046513664
dannyschlosh;2017-10-06 13:32;0;0;"I might go to @ thatgirlbishop at Sprint Pavilion in Charlottesville, VA - Nov 1 http://www.bandsintown.com/event/15360093?artist=Bishop+Briggs&came_from=15 …";;@;;"916355416925331456";https://twitter.com/dannyschlosh/status/916355416925331456
WNRNradio;2017-10-05 15:30;1;5;"On Live at 5, we'll play a classic CSNY performance to get ready for Stephen Stills & Judy Collins' show at @ SprintPavilion tonight!";;@;;"916022683539836928";https://twitter.com/WNRNradio/status/916022683539836928
KregViesselman;2017-10-05 15:03;0;0;"Today: Charlottesville, VA - Oct 5 at Sprint Pavilion http://www.bandsintown.com/event/14831989?artist=Kreg+Viesselman&came_from=93 …";;;;"916016003678560256";https://twitter.com/KregViesselman/status/916016003678560256
SprintPavilion;2017-10-05 14:43;0;1;"Stephen Stills & Judy Collins are both here TONIGHT! Gates open at 6p and show starts shortly after 7p. Tickets: http://bit.ly/2qWXtsU pic.twitter.com/MNbteGCGbn";;;;"916010923386720256";https://twitter.com/SprintPavilion/status/916010923386720256
cvillepulse;2017-10-05 11:25;2;1;". @ TheJudyCollins + Stephen Stills started a musical relationship 50 years ago. It comes to fruition @ SprintPavilion. http://bit.ly/2y0xlTZ";;@ @;;"915961025211531265";https://twitter.com/cvillepulse/status/915961025211531265
WelcomeBook;2017-10-02 12:33;0;0;"Flash Giveaway! We are giving away pairs of tickets to see Stephen Stills & Judy Collins at the Sprint Pavilion... http://fb.me/D7FiM6P8";;;;"914890995644473346";https://twitter.com/WelcomeBook/status/914890995644473346
SprintPavilion;2017-10-02 11:14;0;0;"This Thursday – Stephen Stills & Judy Collins are headed to Charlottesville! Grab tickets: http://bit.ly/2qWXtsU pic.twitter.com/MPQiO35yBX";;;;"914871110025596928";https://twitter.com/SprintPavilion/status/914871110025596928
cwu_wbb;2017-09-29 15:58;0;0;"Final sprint of the day # competelearnlove @Nicholson Pavilion, CWU https://www.instagram.com/p/BZozRhbFkey/";;@Nicholson;#;"913855603675557889";https://twitter.com/cwu_wbb/status/913855603675557889
MEETVA2000;2017-09-29 08:21;0;0;"Avett Brothers "I Shall Be Released" Sprint Pavilion, Charlottesville, V... https://www.youtube.com/watch?v=rHBH7JSCjE4&feature=share …";;;;"913740602084331520";https://twitter.com/MEETVA2000/status/913740602084331520
CJDschool;2017-09-28 20:28;0;0;"A busy day of physical education with Ms.Czrejter on the field and in the pavilion. Learning to throw, catch and sprint.";;;;"913561029824602112";https://twitter.com/CJDschool/status/913561029824602112
MustangFH;2017-09-27 11:39;0;3;"New prizes! # StangStampede5k Ticket vouchers @Sprint Pavilion and free subs from Jersey Mike's!! Register today http://www.stangstampede5k.com";;@Sprint;#;"913065584111341568";https://twitter.com/MustangFH/status/913065584111341568
joey_wharton;2017-09-26 22:46;0;3;". @ ColdWarKids at the @ SprintPavilion last week pic.twitter.com/5wcVDsN2Zn";;@ @;;"912871123557240832";https://twitter.com/joey_wharton/status/912871123557240832
BlackLightVA;2017-09-26 13:54;0;0;"My future stage. @Sprint Pavilion https://www.instagram.com/p/BZg2nklA9PB/";;@Sprint;;"912737068786135040";https://twitter.com/BlackLightVA/status/912737068786135040
qromag;2017-09-25 18:46;0;0;"Photo gallery of @ youngthegiant from @ SprintPavilion - http://www.qromag.com/concert_gallery/?g2_itemId=808797 …pic.twitter.com/N4TYXXSMyK";;@ @;;"912448214346891265";https://twitter.com/qromag/status/912448214346891265
maddyschricker;2017-09-23 19:04;0;0;"I'm going to @ boniver at Sprint Pavilion in Charlottesville, VA - Nov 3 http://www.bandsintown.com/event/15318077?artist=Bon+Iver&came_from=15 …";;@;;"911727979956449282";https://twitter.com/maddyschricker/status/911727979956449282
