username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CHSCoachDaly;2017-12-21 21:35;5;10;"Girls bball: CHS 44, Jefferson Forest 37. CHS led by J.Antwi 16, K.Taylor 10, TC Younger 7. CHS heads into the Holiday Tournament at 4-2. @ cville_dsa @ CvilleVarsity @ scrimmageplay @ NBC29 @ CBS19Sports";;@ @ @ @ @;;"944033529427570688";https://twitter.com/CHSCoachDaly/status/944033529427570688
BlackKnights_AT;2017-12-21 21:05;3;9;"Jefferson Forest started to make a come back but the girls held them off winning, 44-37. Way to go Black Knights!! @ cville_dsa @ CHSBlackKnights";;@ @;;"944026153874083840";https://twitter.com/BlackKnights_AT/status/944026153874083840
ScoutologyCVILL;2017-12-17 12:24;0;0;"16 Great Date Night Spots In # CVille! Jerry Miller ~ Wine & Design, The Jefferson Theater, Greenberry's Coffee at... https://fb.me/xBGB27CN";;;#;"942445323284287488";https://twitter.com/ScoutologyCVILL/status/942445323284287488
CVille_Wildcats;2017-12-14 21:17;0;1;"@ CvilleBoysBball improves to 4-1 on the season after tonight's 60-42 victory over Thomas Jefferson. # CVilleBasketball";;@;#;"941492263229775873";https://twitter.com/CVille_Wildcats/status/941492263229775873
cville_abe;2017-12-01 15:41;0;0;"590 PETER JEFFERSON PKWY Smoke in Structure Comm plz use caution if you are in the area";;;;"936696707701706752";https://twitter.com/cville_abe/status/936696707701706752
SURJ_Cville;2017-11-21 10:48;3;3;"Ruby Sales is coming to the Jefferson School African American Heritage Center! Come out and listen from this... http://fb.me/7XnibfC8l";;;;"932999268419416065";https://twitter.com/SURJ_Cville/status/932999268419416065
LWVCVA;2017-11-18 13:51;0;0;"Please come join us tomorrow afternoon! All state legislators from the Thomas Jefferson Planning District were invited. Sen Creigh Deeds & Del David Toscano are able to join us. 2-3:30ish at CitySpace in Cville’s Downtown Mall https://twitter.com/lwvcva/status/931319630894960641 …";;;;"931957980433657856";https://twitter.com/LWVCVA/status/931957980433657856
uvapress;2017-11-16 16:34;0;2;"# Cville and @ UVA friends: don't miss @ brendanwolfe discuss his new book MR. JEFFERSON'S TELESCOPE, and get a signed copy for the holidays, at the upcoming One-Day UVA conference. More on Wolfe's book here: https://at.virginia.edu/2geKOxU # ReadUP # Jefferson # UVAhttps://twitter.com/UVa_LifetimeLrn/status/930885590404550657 …";;@ @;# # # #;"931274367459315713";https://twitter.com/uvapress/status/931274367459315713
WCNRTheCorner;2017-11-16 14:53;0;0;"Just announced!! Tom Petty Tribute, The Cville Heartbreakers Present The 4th Annual Ugly Sweater Holiday Party | The Jefferson Theater http://www.jeffersontheater.com/events/detail/tom-petty-tribute-the-cville-heartbreakers-present-the-4th-annual-ugly-sweater-holiday-party#.Wg3sqix3eaM.twitter …";;;#;"931248899976769537";https://twitter.com/WCNRTheCorner/status/931248899976769537
SURJ_Cville;2017-11-07 21:45;3;8;"Nikuyah J Walker live from the Jefferson center!!! http://fb.me/2aSGycllh";;;;"928091048777338880";https://twitter.com/SURJ_Cville/status/928091048777338880
awelch744;2017-11-07 14:38;0;1;"And come visit Cville. The Alt-Right bastards don't actually live here, we have lots and lots of wine, & Jefferson.";;;;"927983693980893184";https://twitter.com/awelch744/status/927983693980893184
CVilleFood;2017-10-31 23:33;0;0;"16 Great Date Night Spots In # CVille! Jerry Miller ~ The Jefferson Theater, Putt-Putt Rio Road, Greenberry's... http://fb.me/EV5xf3cW";;;#;"925566338885734400";https://twitter.com/CVilleFood/status/925566338885734400
DavidWilkerso20;2017-10-27 21:45;0;1;"@ MonticelloDrama Brought to tears by A King's Story. How about another Cville show? Perhaps at The Jefferson? # truthsneedtobetold";;@;#;"924089586787241985";https://twitter.com/DavidWilkerso20/status/924089586787241985
seantubbs;2017-10-25 17:46;1;0;"People are beginning to enter the auditorium at the Jefferson School African American Heritage for tonight's # cville candidate forum";;;#;"923304791593373696";https://twitter.com/seantubbs/status/923304791593373696
ScoutologyCVILL;2017-10-17 20:30;0;0;"16 Great Date Night Spots In CVille! # CVille Jerry Miller ~ The Jefferson Theater, Putt-Putt Rio Road,... http://fb.me/GAsiR2Vn";;;#;"920446855124832258";https://twitter.com/ScoutologyCVILL/status/920446855124832258
Scoutology;2017-10-13 20:48;0;0;"16 Great Date Night Spots In CVille! # CVille Jerry Miller ~ The Jefferson Theater, Putt-Putt Rio Road,... http://fb.me/3D7vaMWhO";;;#;"919001829610049537";https://twitter.com/Scoutology/status/919001829610049537
