username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
southern_cville;2017-12-29 13:30;0;0;"JUST ANNOUNCED: Butchertown Burlesque is back for the first installment of 2018 on Saturday, 1/13 ! Tix on sale now: http://bit.ly/Burlesque113 pic.twitter.com/wfFkSv12lr";;;;"946810550171742210";https://twitter.com/southern_cville/status/946810550171742210
southern_cville;2017-12-29 11:45;0;1;"Vaden Cox and Friends return for the 10th Annual Christmas Show tonight! Tix: http://bit.ly/Vaden1229 pic.twitter.com/yb76DYiTwH";;;;"946784281136914433";https://twitter.com/southern_cville/status/946784281136914433
southern_cville;2017-12-28 12:57;0;0;"The Haus of Belle is back in 2018 with an all-star celebrity cast you won't want to miss! Tix: http://bit.ly/HOB126 pic.twitter.com/99ldlRo2a9";;;;"946439909065351169";https://twitter.com/southern_cville/status/946439909065351169
molly_bryan20;2017-12-27 13:49;0;4;"Mmmm just had my Cville Booyas burrito and a southern sweet tea Can't find that anywhere in the north";;;;"946090719017652224";https://twitter.com/molly_bryan20/status/946090719017652224
southern_cville;2017-12-24 12:15;0;1;"Happy Holidays from our family at The Southern to yours. Thanks for supporting years of live & local music here in Charlottesville! pic.twitter.com/zaw7UQIvYZ";;;;"944979736299753472";https://twitter.com/southern_cville/status/944979736299753472
southern_cville;2017-12-23 12:00;0;0;"It's on tonight for The Haus of Belle Holiday Extravaganza w/ special guest @ StacyLMatthews of @ RuPaulsDragRace! Tix: http://bit.ly/HOB1223 pic.twitter.com/WvujctB9t2";;@ @;;"944613576429449216";https://twitter.com/southern_cville/status/944613576429449216
southern_cville;2017-12-19 11:30;0;0;"JUST ANNOUNCED: Dude Ranch and the Girl at the Rock Show: The Ultimate @ blink182 Tribute! Tix on sale the Friday: http://bit.ly/Blink131 pic.twitter.com/zGNVb5mUeR";;@;;"943156474074636288";https://twitter.com/southern_cville/status/943156474074636288
WayDownWanderer;2017-12-18 09:33;0;0;"@ MerleFest on the Road, February dates! 2/22 Charlottesville, VA - @TheSouthernCville 2/23 Bristol, VA - @birthplaceofcountrymusic 2/24 Greensboro, NC - @ thevandyke 2/25 Asheville, NC - @greyeagleasheville 2/27 Nashville, TN @ stationinn1974 2/28 Duluth, GA @redclaymusicfoundrypic.twitter.com/bbBjmPgLXh";;@ @TheSouthernCville @birthplaceofcountrymusic @ @greyeagleasheville @ @redclaymusicfoundrypic;;"942764705378131968";https://twitter.com/WayDownWanderer/status/942764705378131968
MusicCville;2017-12-16 10:00;0;0;"Second Draw - Album Release Party & Benefit for The Haven with Keith Morris & The Crooked Numbers: @ southern_cville at 8 PM # Charlottesville";;@;#;"942046702780915714";https://twitter.com/MusicCville/status/942046702780915714
MusicCville;2017-12-15 10:00;0;0;"A Wild & Risqué Family Christmas with Erin & The Wildfire and Disco Risque: @ southern_cville at 9 PM";;@;;"941684333324091393";https://twitter.com/MusicCville/status/941684333324091393
artscville;2017-12-14 17:25;1;1;"Second Draw and Keith Morris & The Crooked Numbers @ keithmorris112 play a benefit for The Haven at @ southern_cville on Saturday. http://www.c-ville.com/arts-pick-second-draw/ …";;@ @;;"941433888160788481";https://twitter.com/artscville/status/941433888160788481
realKStrawn93;2017-12-11 16:48;0;5;"Now that I look back on it, the guy who @ GroyperMatt said was responsible for attacking both @ Lauren_Southern in NYC and Baked Alaska in CVille may have made a third attempt — on me in Laguna Beach on 8/20. Travis Greer had to block him, shaking and with a fist held up.";;@ @;;"940337598303629312";https://twitter.com/realKStrawn93/status/940337598303629312
southern_cville;2017-12-11 12:30;0;0;"JUST ANNOUNCED: Tix on sale Friday for the prairie-born songwriter with a baritone vocal @ ColterWall on 4/6! http://bit.ly/CWall46 pic.twitter.com/Gqy5x9hEeQ";;@;;"940272469772038144";https://twitter.com/southern_cville/status/940272469772038144
MusicCville;2017-12-10 10:00;0;0;"First Harmonics Winter Concert with the Virginia Glee Club Subset and Wendy Repass: @ southern_cville at 7 PM";;@;;"939872351784615936";https://twitter.com/MusicCville/status/939872351784615936
southern_cville;2017-12-07 14:24;0;0;"Rock out with @ TheBaronsMusic & Butterfly Vendetta tonight! Music kicks off at 8pm - tickets available in advance & at the door: http://bit.ly/Barons127 pic.twitter.com/XcuzrO8NC4";;@;;"938851606807932928";https://twitter.com/southern_cville/status/938851606807932928
MusicCville;2017-12-07 10:00;0;0;"The Barons with Butterfly Vendetta: @ southern_cville at 8 PM";;@;;"938785224116248577";https://twitter.com/MusicCville/status/938785224116248577
southern_cville;2017-12-05 12:00;0;0;"LIVE! ON STAGE: JONATHAN RICHMAN featuring TOMMY LARKINS on the drums! Tix on sale Friday at 10am: http://bit.ly/JRichman224 pic.twitter.com/YhGwOHlqlB";;;;"938090601303629824";https://twitter.com/southern_cville/status/938090601303629824
