DATE,PRCP,TMAX,TMIN
2017-01-01,0,12.5,3.6
2017-01-02,7.4,5.3,3.6
2017-01-03,15.5,10.4,3.6
2017-01-04,0,13.3,-0.4
2017-01-05,0,1.3,-1.8
2017-01-06,1,0.7,-4.6
2017-01-07,7.5,-4.6,-11.6
2017-01-08,0.2,-6,-13.7
2017-01-09,0,-5.6,-12.7
2017-01-10,0,2.3,-9.4
2017-01-11,0,12.2,1.3
2017-01-12,0,19,7.5
2017-01-13,0,16.6,4.3
2017-01-14,2.5,4.3,-0.2
2017-01-15,0.7,3.9,1
2017-01-16,2.3,4.6,2.5
2017-01-17,1.9,12.5,2.9
2017-01-18,0,15.3,4.7
2017-01-19,0,10.8,3.5
2017-01-20,1.8,8.2,4
2017-01-21,1.7,9.1,6.6
2017-01-22,6.5,9.6,7.5
2017-01-23,43.3,8.4,1.2
2017-01-24,0,12.5,0.8
2017-01-25,0,18.7,6.5
2017-01-26,0,16.5,3.3
2017-01-27,0,6.2,-0.9
2017-01-28,0,8,-1.7
2017-01-29,0.9,5.1,-0.6
2017-01-30,0,2.6,-3.8
2017-01-31,0,15.2,-5
2017-02-01,0,14.3,5.8
2017-02-02,0,11.1,1.8
2017-02-03,0,1.9,-4.5
2017-02-04,0.6,3.7,-7.2
2017-02-05,0,12.1,-2.4
2017-02-06,0,17.4,6.7
2017-02-07,0,21.5,9.7
2017-02-08,0,20.9,12.8
2017-02-09,1.7,14.1,-6.5
2017-02-10,0.2,1.4,-7.4
2017-02-11,0,18.7,1
2017-02-12,0,24.8,9.4
2017-02-13,0,11.8,0.4
2017-02-14,0,9.5,1.6
2017-02-15,0,12.2,0.6
2017-02-16,0,6.4,-2.3
2017-02-17,0,16.2,0.2
2017-02-18,0,21.5,4.9
2017-02-19,0,22.3,11.1
2017-02-20,0,20.3,8.9
2017-02-21,0,14.5,5.6
2017-02-22,2.3,14.6,7.9
2017-02-23,0,22.8,10.7
2017-02-24,0,23.4,11.6
2017-02-25,5.2,21.9,3.1
2017-02-26,0,10,-2.1
2017-02-27,0,12.2,2.8
2017-02-28,5.3,18.7,7.8
2017-03-01,3.7,23,12.4
2017-03-02,0,13.9,2.1
2017-03-03,0,6.7,-2.4
2017-03-04,0,8.1,-3.8
2017-03-05,0,5.5,-5.6
2017-03-06,0,11.3,-0.6
2017-03-07,1.3,17.5,9
2017-03-08,0,18.1,7.8
2017-03-09,0,20.4,11.2
2017-03-10,0.2,16.6,-0.7
2017-03-11,0,7,-3.6
2017-03-12,0.3,7,-5
2017-03-13,9.2,7.8,-5.2
2017-03-14,13.5,6.4,-6.8
2017-03-15,0,1.8,-9.2
2017-03-16,0,6.4,-5.3
2017-03-17,0.4,9.6,-1.3
2017-03-18,6.2,16.4,1.6
2017-03-19,0,10.5,2.1
2017-03-20,0,12.1,1
2017-03-21,0,18.4,6.2
2017-03-22,0,12,1
2017-03-23,0,8.7,-2.4
2017-03-24,0,18.5,0.4
2017-03-25,0,24.7,12.8
2017-03-26,1.4,16.5,8.2
2017-03-27,1.9,23.2,8
2017-03-28,6.9,22.4,14
2017-03-29,0,19.4,11.3
2017-03-30,0,11.3,7.3
2017-03-31,36.4,13.9,5.7
2017-04-01,0,19.3,7.5
2017-04-02,0,16.6,4.7
2017-04-03,13,15,7.4
2017-04-04,0,25.8,12.1
2017-04-05,0,23.2,14.4
2017-04-06,15.7,17.4,6.7
2017-04-07,0,10.4,3.2
2017-04-08,0,18.9,3
2017-04-09,0,21.2,10.2
2017-04-10,0,25.3,11.7
2017-04-11,0,28.2,13.2
2017-04-12,0,24.3,15.8
2017-04-13,0,21.7,11.8
2017-04-14,0,22.7,12.3
2017-04-15,0,26,11.2
2017-04-16,1.3,27.9,18
2017-04-17,0,22.2,14.5
2017-04-18,0,21.2,12.1
2017-04-19,1.7,12.5,8.6
2017-04-20,16.4,27.5,11.1
2017-04-21,0.5,28.1,19.6
2017-04-22,9.8,19.9,8
2017-04-23,2.1,11.5,7.3
2017-04-24,38,9.7,6.5
2017-04-25,4.6,13.1,8.8
2017-04-26,0,24.4,11.2
2017-04-27,0.9,25.3,15.7
2017-04-28,0,27.1,16.7
2017-04-29,0,29,19.5
2017-04-30,0,26.9,19.7
2017-05-01,5.8,23.5,18.3
2017-05-02,0,22.8,15.1
2017-05-03,0,19.5,11.5
2017-05-04,28.2,16.9,9.5
2017-05-05,55.1,23.3,12.8
2017-05-06,6.5,14.7,8.4
2017-05-07,0,16.5,6.8
2017-05-08,0,16.9,5.6
2017-05-09,0,19.4,6.7
2017-05-10,0,22.4,8.6
2017-05-11,3.9,15,8.9
2017-05-12,36,9.5,7.6
2017-05-13,3.9,17.7,7.2
2017-05-14,0,26.1,12.8
