date,temperature,precipm
"12:53 AM EST on January 01, 2017",5.6,-9999.00
"1:53 AM EST on January 01, 2017",4.4,-9999.00
"2:53 AM EST on January 01, 2017",5.0,-9999.00
"3:53 AM EST on January 01, 2017",4.4,-9999.00
"4:53 AM EST on January 01, 2017",5.0,-9999.00
"5:53 AM EST on January 01, 2017",3.3,-9999.00
"6:53 AM EST on January 01, 2017",4.4,-9999.00
"7:53 AM EST on January 01, 2017",3.3,-9999.00
"8:53 AM EST on January 01, 2017",5.0,-9999.00
"9:53 AM EST on January 01, 2017",7.8,-9999.00
"10:53 AM EST on January 01, 2017",10.6,-9999.00
"11:53 AM EST on January 01, 2017",12.8,-9999.00
"12:53 PM EST on January 01, 2017",13.3,-9999.00
"1:53 PM EST on January 01, 2017",13.9,-9999.00
"2:53 PM EST on January 01, 2017",14.4,-9999.00
"3:53 PM EST on January 01, 2017",13.9,-9999.00
"4:53 PM EST on January 01, 2017",11.7,-9999.00
"5:53 PM EST on January 01, 2017",10.6,-9999.00
"6:53 PM EST on January 01, 2017",10.0,-9999.00
"7:53 PM EST on January 01, 2017",10.6,-9999.00
"8:53 PM EST on January 01, 2017",10.0,-9999.00
"9:53 PM EST on January 01, 2017",10.0,-9999.00
"10:53 PM EST on January 01, 2017",8.3,0.0
"11:26 PM EST on January 01, 2017",7.8,0.3
"11:53 PM EST on January 01, 2017",8.3,0.3
"12:30 AM EST on January 02, 2017",7.2,0.0
"12:53 AM EST on January 02, 2017",7.2,0.0
"1:22 AM EST on January 02, 2017",6.7,0.0
"1:29 AM EST on January 02, 2017",6.7,0.0
"1:53 AM EST on January 02, 2017",6.7,0.0
"2:01 AM EST on January 02, 2017",6.7,0.0
"2:11 AM EST on January 02, 2017",6.1,0.0
"2:38 AM EST on January 02, 2017",6.1,0.3
"2:53 AM EST on January 02, 2017",6.1,0.3
"3:19 AM EST on January 02, 2017",6.1,-9999.00
"3:53 AM EST on January 02, 2017",6.1,-9999.00
"4:26 AM EST on January 02, 2017",6.1,0.0
"4:40 AM EST on January 02, 2017",6.1,0.0
"4:53 AM EST on January 02, 2017",6.1,0.0
"5:22 AM EST on January 02, 2017",6.1,0.5
"5:53 AM EST on January 02, 2017",6.1,1.0
"6:53 AM EST on January 02, 2017",6.1,0.8
"7:01 AM EST on January 02, 2017",6.1,0.0
"7:53 AM EST on January 02, 2017",6.1,0.0
"8:50 AM EST on January 02, 2017",6.0,-9999.00
"8:53 AM EST on January 02, 2017",6.1,-9999.00
"9:33 AM EST on January 02, 2017",6.1,-9999.00
"9:53 AM EST on January 02, 2017",6.1,-9999.00
"10:00 AM EST on January 02, 2017",6.1,-9999.00
"10:53 AM EST on January 02, 2017",6.7,-9999.00
"11:07 AM EST on January 02, 2017",7.2,-9999.00
"11:49 AM EST on January 02, 2017",7.0,-9999.00
"11:53 AM EST on January 02, 2017",7.2,-9999.00
"12:53 PM EST on January 02, 2017",7.2,0.0
"1:53 PM EST on January 02, 2017",8.3,0.3
"2:49 PM EST on January 02, 2017",8.0,-9999.00
"2:53 PM EST on January 02, 2017",8.3,-9999.00
"3:53 PM EST on January 02, 2017",8.3,-9999.00
"4:53 PM EST on January 02, 2017",7.8,-9999.00
"5:42 PM EST on January 02, 2017",7.2,-9999.00
"5:53 PM EST on January 02, 2017",7.2,-9999.00
"6:53 PM EST on January 02, 2017",7.2,-9999.00
"7:53 PM EST on January 02, 2017",7.2,-9999.00
"8:00 PM EST on January 02, 2017",7.2,-9999.00
"8:07 PM EST on January 02, 2017",7.2,-9999.00
"8:53 PM EST on January 02, 2017",7.2,-9999.00
"9:41 PM EST on January 02, 2017",6.7,-9999.00
"9:53 PM EST on January 02, 2017",6.7,-9999.00
"10:22 PM EST on January 02, 2017",6.7,-9999.00
"10:39 PM EST on January 02, 2017",6.7,-9999.00
"10:53 PM EST on January 02, 2017",6.7,-9999.00
"11:00 PM EST on January 02, 2017",6.7,-9999.00
"11:27 PM EST on January 02, 2017",6.7,-9999.00
"11:53 PM EST on January 02, 2017",6.7,-9999.00
"12:23 AM EST on January 03, 2017",6.7,-9999.00
"12:53 AM EST on January 03, 2017",6.7,-9999.00
"1:34 AM EST on January 03, 2017",6.7,-9999.00
"1:42 AM EST on January 03, 2017",6.7,-9999.00
"1:53 AM EST on January 03, 2017",6.7,-9999.00
"2:19 AM EST on January 03, 2017",6.7,-9999.00
"2:53 AM EST on January 03, 2017",6.7,-9999.00
"3:22 AM EST on January 03, 2017",6.7,-9999.00
"3:53 AM EST on January 03, 2017",6.7,0.0
"4:42 AM EST on January 03, 2017",6.7,1.5
"4:53 AM EST on January 03, 2017",6.1,2.0
"5:29 AM EST on January 03, 2017",6.1,1.3
"5:53 AM EST on January 03, 2017",6.1,3.3
"6:53 AM EST on January 03, 2017",6.1,2.8
"7:53 AM EST on January 03, 2017",6.1,5.1
"8:53 AM EST on January 03, 2017",6.7,1.5
"9:53 AM EST on January 03, 2017",6.7,0.3
"9:56 AM EST on January 03, 2017",6.7,0.0
"10:53 AM EST on January 03, 2017",7.8,0.0
"11:53 AM EST on January 03, 2017",7.8,0.0
"12:53 PM EST on January 03, 2017",7.8,-9999.00
"1:19 PM EST on January 03, 2017",8.9,-9999.00
"1:53 PM EST on January 03, 2017",8.9,-9999.00
"2:00 PM EST on January 03, 2017",8.9,-9999.00
"2:09 PM EST on January 03, 2017",8.9,-9999.00
"2:28 PM EST on January 03, 2017",8.9,-9999.00
"2:53 PM EST on January 03, 2017",8.9,-9999.00
"3:53 PM EST on January 03, 2017",8.3,-9999.00
"4:44 PM EST on January 03, 2017",8.9,-9999.00
"4:53 PM EST on January 03, 2017",8.9,-9999.00
"5:15 PM EST on January 03, 2017",8.3,-9999.00
"5:53 PM EST on January 03, 2017",8.3,-9999.00
"6:53 PM EST on January 03, 2017",8.3,-9999.00
"7:00 PM EST on January 03, 2017",8.3,-9999.00
"7:38 PM EST on January 03, 2017",8.3,-9999.00
"7:53 PM EST on January 03, 2017",8.3,-9999.00
"8:53 PM EST on January 03, 2017",8.3,-9999.00
"9:12 PM EST on January 03, 2017",8.3,-9999.00
"9:53 PM EST on January 03, 2017",7.8,-9999.00
"10:36 PM EST on January 03, 2017",8.3,-9999.00
"10:53 PM EST on January 03, 2017",8.3,-9999.00
"10:57 PM EST on January 03, 2017",8.3,-9999.00
"11:07 PM EST on January 03, 2017",8.3,-9999.00
"11:16 PM EST on January 03, 2017",8.3,-9999.00
"11:51 PM EST on January 03, 2017",8.0,-9999.00
"11:53 PM EST on January 03, 2017",8.3,-9999.00
"12:05 AM EST on January 04, 2017",8.3,-9999.00
"12:15 AM EST on January 04, 2017",8.3,-9999.00
"12:53 AM EST on January 04, 2017",8.3,-9999.00
"1:53 AM EST on January 04, 2017",8.3,-9999.00
"2:53 AM EST on January 04, 2017",7.8,-9999.00
"3:21 AM EST on January 04, 2017",8.3,-9999.00
"3:24 AM EST on January 04, 2017",8.9,-9999.00
"3:53 AM EST on January 04, 2017",10.6,-9999.00
"4:53 AM EST on January 04, 2017",12.2,-9999.00
"5:53 AM EST on January 04, 2017",12.8,-9999.00
"6:53 AM EST on January 04, 2017",11.7,-9999.00
"7:53 AM EST on January 04, 2017",11.7,-9999.00
"8:53 AM EST on January 04, 2017",12.2,-9999.00
"9:53 AM EST on January 04, 2017",11.7,0.3
"10:53 AM EST on January 04, 2017",13.3,0.0
"11:53 AM EST on January 04, 2017",13.9,-9999.00
"12:53 PM EST on January 04, 2017",12.8,-9999.00
"1:53 PM EST on January 04, 2017",13.3,-9999.00
"2:53 PM EST on January 04, 2017",12.8,-9999.00
"3:53 PM EST on January 04, 2017",11.7,-9999.00
"4:53 PM EST on January 04, 2017",9.4,-9999.00
"5:53 PM EST on January 04, 2017",8.3,-9999.00
"6:53 PM EST on January 04, 2017",6.7,-9999.00
"7:53 PM EST on January 04, 2017",5.6,-9999.00
"8:53 PM EST on January 04, 2017",4.4,-9999.00
"9:53 PM EST on January 04, 2017",3.9,-9999.00
"10:53 PM EST on January 04, 2017",2.2,-9999.00
"11:53 PM EST on January 04, 2017",2.2,-9999.00
"12:53 AM EST on January 05, 2017",0.6,-9999.00
"1:53 AM EST on January 05, 2017",0.0,-9999.00
"2:53 AM EST on January 05, 2017",0.0,-9999.00
"3:53 AM EST on January 05, 2017",0.0,-9999.00
"4:53 AM EST on January 05, 2017",0.6,-9999.00
